,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,rikitea,34,PF,1588970001,70,-23.12,-134.97,24.25,3.24
1,harstad,100,NO,1588970317,94,68.8,16.53,0.0,2.6
2,ambon,8,ID,1588970317,97,-3.7,128.18,26.67,5.77
3,akyab,0,MM,1588970317,75,20.15,92.9,27.05,3.57
4,albany,100,US,1588969929,27,42.6,-73.97,13.89,1.7
5,watsa,99,CD,1588970318,100,3.04,29.54,19.25,1.11
6,liwale,12,TZ,1588970318,78,-9.77,37.93,18.88,1.62
7,tasiilaq,12,GL,1588970055,69,65.61,-37.64,1.0,2.1
8,chokurdakh,57,RU,1588970038,98,70.63,147.92,-5.48,3.72
9,te anau,56,NZ,1588970319,85,-45.42,167.72,9.64,0.92
10,saint-philippe,20,RE,1588969988,68,-21.36,55.77,23.0,4.6
11,ami,75,JP,1588970319,76,36.03,140.2,14.0,3.6
12,kodiak,90,US,1588970011,93,57.79,-152.41,7.0,7.7
13,bac lieu,100,VN,1588970320,75,9.29,105.72,28.95,2.9
14,ourinhos,0,BR,1588970321,71,-22.98,-49.87,15.92,0.95
15,bayir,0,TR,1588970321,45,37.27,28.22,18.0,3.1
16,itarema,90,BR,1588970115,88,-2.92,-39.92,26.16,3.27
17,wattegama,46,LK,1588970322,93,6.8,81.48,24.9,0.73
18,eyl,0,SO,1588970096,71,7.98,49.82,28.48,3.22
19,cidreira,0,BR,1588970118,74,-30.18,-50.21,15.59,2.13
20,busselton,0,AU,1588969994,73,-33.65,115.33,7.22,3.0
21,mataura,54,NZ,1588970000,83,-46.19,168.86,8.05,1.74
22,richards bay,0,ZA,1588970323,82,-28.78,32.04,19.57,2.75
23,sur,0,OM,1588970323,40,22.57,59.53,32.68,4.15
24,barrow,90,US,1588969802,92,71.29,-156.79,-8.0,5.1
25,dikson,100,RU,1588969983,96,73.51,80.55,-3.28,9.69
26,east london,74,ZA,1588970032,79,-33.02,27.91,20.43,2.86
27,khatanga,100,RU,1588970011,93,71.97,102.5,-5.49,9.04
